Query,Rank,AveragePosition,URL
,,,
1,1,3,portal.uea.ac.uk/partnerships-office/uea-international-forum-2017/contact-information
,,,
1,2,3,portal.uea.ac.uk/finance/auto-enrolment
,,,
1,3,3.333333333,portal.uea.ac.uk/en/finance/payroll/pensions/contacts
,,,
1,4,3.384615385,portal.uea.ac.uk/finance/auto-enrolment/faqs
,,,
1,5,3.428571429,portal.uea.ac.uk/finance/payroll/pensions/contacts
,,,
1,6,3.545454545,portal.uea.ac.uk/en/finance/auto-enrolment/faqs
,,,
1,7,4,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
,,,
1,8,4.6,portal.uea.ac.uk/rin/research-integrity/research-integrity-primary-contacts
,,,
1,9,4.75,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
,,,
1,10,5,portal.uea.ac.uk/student-support-service/wellbeing/contact-us
,,,
1,11,5,portal.uea.ac.uk/en/rin/research-integrity/research-integrity-primary-contacts
,,,
1,12,5,portal.uea.ac.uk/web/hub/library/access/external-borrowers
,,,
1,13,5.285714286,portal.uea.ac.uk/en/finance/auto-enrolment
,,,
1,14,5.333333333,portal.uea.ac.uk/uea-retirement-association/how-to-join
,,,
1,15,5.375,portal.uea.ac.uk/dos/wellbeing/contact-us
,,,
1,16,5.5,portal.uea.ac.uk/en/staffassociation/contact-us
,,,
1,17,5.625,portal.uea.ac.uk/staffassociation/contact-us
,,,
1,18,5.666666667,portal.uea.ac.uk/en/home
,,,
1,19,5.833333333,portal.uea.ac.uk/en/student-support-service/wellbeing/contact-us
,,,
1,20,6,portal.uea.ac.uk/uea-retirement-association
,,,
1,21,6,portal.uea.ac.uk
,,,
1,22,6,portal.uea.ac.uk/planningoffice/sro/contact-details
,,,
1,23,6,portal.uea.ac.uk/itservices/help/blackboard/contacts-page
,,,
1,24,6.25,portal.uea.ac.uk/catering/contact-us
,,,
1,25,6.5,portal.uea.ac.uk/is/online-wiki-helpdesk/-/wiki/Main/Add+a+contacts+page
,,,
1,26,7.5,portal.uea.ac.uk/home
,,,
1,27,7.666666667,portal.uea.ac.uk/web/hub/is/online-wiki-helpdesk/-/wiki/Main/Add+a+contacts+page
,,,
1,28,8,portal.uea.ac.uk/itservices/support
,,,
1,29,8.4,portal.uea.ac.uk/itservices/help/contact-it-services
,,,
1,30,9,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/contact
,,,
2,1,1.333333333,portal.uea.ac.uk/library/borrowing/sconul-access
,,,
2,2,1.625,portal.uea.ac.uk/estates/improving-your-campus/current-works/-/asset_publisher/F0wZU8imREei/content/works-affecting-accessible-routes
,,,
2,3,1.666666667,portal.uea.ac.uk/web/hub/library/borrowing/sconul-access
,,,
2,4,2,portal.uea.ac.uk/en/estates/access-and-security/staff-access
,,,
2,5,2.6,portal.uea.ac.uk/en/estates/improving-your-campus/current-works/-/asset_publisher/F0wZU8imREei/content/works-affecting-accessible-routes
,,,
2,6,2.8,portal.uea.ac.uk/web/about/-/paving-the-way-to-more-accessible-roadworks
,,,
2,7,3.166666667,portal.uea.ac.uk/estates/access-and-security/staff-access
,,,
2,8,3.666666667,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
,,,
2,9,4,portal.uea.ac.uk/library/disabilities/buildings
,,,
