StudentNo,100125468	
System,stemmed	
QueryNo,Rank,URL
1,1.4961028750349337e-08,portal.uea.ac.uk/finance/payroll/pensions/contacts
1,1.4961028750349337e-08,portal.uea.ac.uk/en/finance/payroll/pensions/contacts
1,1.4545159265628963e-08,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
1,1.4545159265628963e-08,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
1,1.3889857467795448e-08,portal.uea.ac.uk/partnerships-office/uea-international-forum-2017/contact-information
1,1.3270628108271904e-08,portal.uea.ac.uk/rin/research-integrity/research-integrity-primary-contacts
1,1.3270628108271904e-08,portal.uea.ac.uk/en/rin/research-integrity/research-integrity-primary-contacts
1,1.2665940059111812e-08,portal.uea.ac.uk/staffassociation/contact-us
1,1.2665940059111812e-08,portal.uea.ac.uk/en/staffassociation/contact-us
1,1.2537024638662837e-08,portal.uea.ac.uk/student-support-service/wellbeing/contact-us
2,3.4731082775929714e-08,portal.uea.ac.uk/library/borrowing/sconul-access
2,3.2801832396221814e-08,portal.uea.ac.uk/web/hub/library/borrowing/sconul-access
2,3.147941687093243e-08,portal.uea.ac.uk/library/access
2,2.8587108374479157e-08,portal.uea.ac.uk/library/access/visitors/e-resources
2,2.8587108374479157e-08,portal.uea.ac.uk/web/hub/library/access/visitors/e-resources
2,2.8537722760395113e-08,portal.uea.ac.uk/library/access/sconul
2,2.8537722760395113e-08,portal.uea.ac.uk/web/hub/library/access/sconul
2,2.715615100776701e-08,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_access_event
2,2.6570348340820433e-08,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-oa
2,2.6570348340820433e-08,portal.uea.ac.uk/ren/open-access-and-research-data/what-is-oa
3,3.609627229801704e-08,portal.uea.ac.uk/academic-calendar/semester-dates
3,3.180755791995028e-08,portal.uea.ac.uk/web/about/key-dates/semester-dates
3,2.7237258605936206e-08,portal.uea.ac.uk/committee-office/semester-dates
3,2.7237258605936206e-08,portal.uea.ac.uk/en/committee-office/semester-dates
3,2.1862362573409797e-08,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/date-dim_date-
3,2.128170720140978e-08,portal.uea.ac.uk/nursery/dates-and-opening-times
3,2.128170720140978e-08,portal.uea.ac.uk/en/nursery/dates-and-opening-times
3,1.9995446001786225e-08,portal.uea.ac.uk/committee-office/semester-dates/archived-dates
3,1.9995446001786225e-08,portal.uea.ac.uk/en/committee-office/semester-dates/archived-dates
3,1.9771806867904436e-08,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe
4,4.8379239826293874e-08,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days
4,4.5395733352517175e-08,portal.uea.ac.uk/learning-and-teaching/staff/teaching/learning-teaching-day
4,4.47793000771192e-08,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-membership
4,4.47793000771192e-08,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-membership
4,4.0388639915373014e-08,portal.uea.ac.uk/learning-and-teaching/staff/teaching
4,3.843789164932192e-08,portal.uea.ac.uk/learning-and-teaching/staff/teaching/teaching-fellowships/selection-criteria
4,3.833218946729647e-08,portal.uea.ac.uk/learning-and-teaching/staff/new-staff/academic-roles
4,3.7236013396984613e-08,portal.uea.ac.uk/learning-and-teaching/learning-and-teaching-strategies
4,3.7236013396984613e-08,portal.uea.ac.uk/learning-and-teaching/docs/learning-and-teaching-strategies
4,3.6990991526506e-08,portal.uea.ac.uk/learning-and-teaching/staff/teaching/innovation
5,4.331060357197665e-09,portal.uea.ac.uk/web/about/our-university/executive/neil-ward
5,1.1022497530759347e-09,portal.uea.ac.uk/web/about/our-university/executive
5,9.43652666302419e-10,portal.uea.ac.uk/committee-office/uea-committees-and-boards/governance-committee/membership
5,9.43652666302419e-10,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/governance-committee/membership
5,8.274958121917623e-10,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days/learning-and-teaching-day-2017
5,7.382798533735623e-10,portal.uea.ac.uk/committee-office/uea-committees-and-boards/widening-participation-committee/widening-participation-committee-membership
5,7.382798533735623e-10,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/widening-participation-committee/widening-participation-committee-membership
5,7.233514004560822e-10,portal.uea.ac.uk/committee-office/uea-committees-and-boards/council/council-membership
5,6.580320432242621e-10,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days/learning-and-teaching-day-2016
5,6.569334922339044e-10,portal.uea.ac.uk/committee-office/uea-committees-and-boards/student-experience-committee/student-experience-committee-membership
6,1.7483187249682676e-08,portal.uea.ac.uk/equality/legislation/equality-act-2010
6,1.7483187249682676e-08,portal.uea.ac.uk/en/equality/legislation/equality-act-2010
