StudentNo,100136499
System,relfbk (after feedback)
QueryNo,Rank,URL
1,1,portal.uea.ac.uk/finance/payroll/pensions/contacts
1,2,portal.uea.ac.uk/en/finance/payroll/pensions/contacts
1,3,portal.uea.ac.uk/web/about/contact-us 
1,4,portal.uea.ac.uk/partnerships-office/uea-international-forum-2017/contact-information
1,5,portal.uea.ac.uk/web/about/sustainability/who-are-we/contact
1,6,portal.uea.ac.uk/staffassociation/contact-us
1,7,portal.uea.ac.uk/en/staffassociation/contact-us
1,8,portal.uea.ac.uk/student-support-service/wellbeing/contact-us
1,9,portal.uea.ac.uk/dos/wellbeing/contact-us
1,10,portal.uea.ac.uk/en/student-support-service/wellbeing/contact-us
2,1,portal.uea.ac.uk/library/access
2,2,portal.uea.ac.uk/library/news/-/asset_publisher/PFyiDU0daRt0/blog/christmas-in-the-library
2,3,portal.uea.ac.uk/en/library 
2,4,portal.uea.ac.uk/library 
2,5,portal.uea.ac.uk/web/hub/library/access/visitors/e-resources
2,6,portal.uea.ac.uk/library/access/visitors/e-resources
2,7,portal.uea.ac.uk/is/online-wiki-helpdesk/-/wiki/Main/Allow+Guests+to+Access+your+Module+on+Blackboard
2,8,portal.uea.ac.uk/web/hub/is/online-wiki-helpdesk/-/wiki/Main/Allow+Guests+to+Access+your+Module+on+Blackboard
2,9,portal.uea.ac.uk/library/other-collections
2,10,portal.uea.ac.uk/web/hub/library/other-collections
3,1,portal.uea.ac.uk/web/about/key-dates/semester-dates
3,2,portal.uea.ac.uk/academic-calendar/semester-dates
3,3,portal.uea.ac.uk/committee-office/semester-dates
3,4,portal.uea.ac.uk/en/committee-office/semester-dates
3,5,portal.uea.ac.uk/web/about/key-dates
3,6,portal.uea.ac.uk/en/nursery/dates-and-opening-times
3,7,portal.uea.ac.uk/nursery/dates-and-opening-times
3,8,portal.uea.ac.uk/en/accommodation/key-dates
3,9,portal.uea.ac.uk/csed/qualifications/teaching-skills
