StudentNo,100136499
System,stemmed
QueryNo,Rank,URL
1,0.015472660922996116,portal.uea.ac.uk/finance/payroll/pensions/contacts
1,0.015472660922996116,portal.uea.ac.uk/en/finance/payroll/pensions/contacts
1,0.013521071489743273,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
1,0.013521071489743273,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
1,0.009714879691251265,portal.uea.ac.uk/partnerships-office/uea-international-forum-2017/contact-information
1,0.009315996834677093,portal.uea.ac.uk/finance/auto-enrolment/faqs
1,0.009315996834677093,portal.uea.ac.uk/en/finance/auto-enrolment/faqs
1,0.008881020111761331,portal.uea.ac.uk/rin/research-integrity/research-integrity-primary-contacts
1,0.008881020111761331,portal.uea.ac.uk/en/rin/research-integrity/research-integrity-primary-contacts
1,0.008587578704474387,portal.uea.ac.uk/staffassociation/contact-us
1,0.008587578704474387,portal.uea.ac.uk/en/staffassociation/contact-us
1,0.008500173323258364,portal.uea.ac.uk/student-support-service/wellbeing/contact-us
1,0.008500173323258364,portal.uea.ac.uk/dos/wellbeing/contact-us
1,0.008500173323258364,portal.uea.ac.uk/en/student-support-service/wellbeing/contact-us
1,0.007883188702949954,portal.uea.ac.uk/itservices/support
1,0.007883188702949954,portal.uea.ac.uk/itservices/help/contact-it-services
1,0.0077693854155872375,portal.uea.ac.uk/itservices/help/blackboard/contacts-page
1,0.007709620912390412,portal.uea.ac.uk/is/online-wiki-helpdesk/-/wiki/Main/Add+a+contacts+page
1,0.007709620912390412,portal.uea.ac.uk/web/hub/is/online-wiki-helpdesk/-/wiki/Main/Add+a+contacts+page
1,0.0076443206316717085,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/contact
1,0.0076443206316717085,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/contact
1,0.007053242056661689,portal.uea.ac.uk/finance/auto-enrolment
1,0.007053242056661689,portal.uea.ac.uk/en/finance/auto-enrolment
1,0.007003848487845936,portal.uea.ac.uk/planningoffice/sro/contact-details
1,0.007003848487845936,portal.uea.ac.uk/en/planningoffice/sro/contact-details
1,0.006976223099378795,portal.uea.ac.uk/catering/contact-us
1,0.006976223099378795,portal.uea.ac.uk/en/catering/contact-us
1,0.006907312910661792,portal.uea.ac.uk/finance/payroll/pensions
1,0.006907312910661792,portal.uea.ac.uk/en/finance/payroll/pensions
1,0.006726514890005057,portal.uea.ac.uk/equality/contact-us1
1,0.006726514890005057,portal.uea.ac.uk/en/equality/contact-us1
1,0.006720071868079766,portal.uea.ac.uk/web/about/sustainability/who-are-we/contact
1,0.00664842931085077,portal.uea.ac.uk/uea-retirement-association/contact-us
1,0.00664842931085077,portal.uea.ac.uk/en/uea-retirement-association/contact-us
1,0.006621476219050023,portal.uea.ac.uk/web/hub/staffassociation/members-discounts/discount-list/contact-lenses
1,0.006621476219050023,portal.uea.ac.uk/staffassociation/members-discounts/discount-list/contact-lenses
1,0.00651870386088295,portal.uea.ac.uk/rs-connect/contact-us
1,0.00651870386088295,portal.uea.ac.uk/en/rs-connect/contact-us
1,0.006385804144705385,portal.uea.ac.uk/en/finance/payroll/pensions/nhs
1,0.006385804144705385,portal.uea.ac.uk/finance/payroll/pensions/nhs
1,0.006333887037837861,portal.uea.ac.uk/finance/payroll/pensions/pensions-uss
1,0.006333887037837861,portal.uea.ac.uk/en/finance/payroll/pensions/pensions-uss
1,0.006303463639061342,portal.uea.ac.uk/equality/networks/uea-staff-pride/about-staff-pride-and-making-contact
1,0.006303463639061342,portal.uea.ac.uk/en/equality/networks/uea-staff-pride/about-staff-pride-and-making-contact
1,0.006265963316252469,portal.uea.ac.uk/finance/payroll/pensions/ueasss
1,0.006265963316252469,portal.uea.ac.uk/en/finance/payroll/pensions/ueasss
1,0.006074246779459112,portal.uea.ac.uk/accommodation/summer/application-form
1,0.006074246779459112,portal.uea.ac.uk/en/accommodation/summer/application-form
1,0.005996371820748099,portal.uea.ac.uk/brand-guidelines/contacts-and-feedback
1,0.005996371820748099,portal.uea.ac.uk/en/multifaith/contact-us
1,0.00596577808696877,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/contact-us
1,0.00596577808696877,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/contact-us
1,0.005952491276084653,portal.uea.ac.uk/finance/student-finance/contacts
1,0.005952491276084653,portal.uea.ac.uk/en/finance/student-finance/contacts
1,0.005912509939894756,portal.uea.ac.uk/student-support-service/international-students/contact-us
1,0.005912509939894756,portal.uea.ac.uk/en/student-support-service/international-students/contact-us
1,0.005912509939894756,portal.uea.ac.uk/dos/international-students/contact-us
1,0.005803550003541851,portal.uea.ac.uk/planningoffice/sro/partner-colleges
1,0.005803550003541851,portal.uea.ac.uk/en/planningoffice/sro/partner-colleges
1,0.0056830741436008705,portal.uea.ac.uk/library/subject-guides/business-management-and-accountancy/thomson-reuters-database-support
1,0.005681693416160734,portal.uea.ac.uk/estates/grounds
1,0.005681693416160734,portal.uea.ac.uk/en/estates/grounds
1,0.005626670700972651,portal.uea.ac.uk/information-services/people/profile/list/all/ce/3
1,0.0056112241944328255,portal.uea.ac.uk/finance/payroll
1,0.0056112241944328255,portal.uea.ac.uk/en/finance/payroll
1,0.005591356868121359,portal.uea.ac.uk/graduationoffice/contact-us
1,0.005591356868121359,portal.uea.ac.uk/en/graduationoffice/contact-us
1,0.005476779883118872,portal.uea.ac.uk/rin/apply-for-funding/internal-peer-review
1,0.005476779883118872,portal.uea.ac.uk/en/rin/apply-for-funding/internal-peer-review
1,0.005443928428015983,portal.uea.ac.uk/equality/networks/uea-staff-pride/dignity-and-respect-champions
1,0.005443928428015983,portal.uea.ac.uk/en/equality/networks/uea-staff-pride/dignity-and-respect-champions
1,0.005435199124787167,portal.uea.ac.uk/web/about/contact-us
1,0.005407827618403346,portal.uea.ac.uk/postgraduate-research/who-does-what
1,0.005407827618403346,portal.uea.ac.uk/en/postgraduate-research/who-does-what
1,0.005359629511287452,portal.uea.ac.uk/library/academic-engagement-librarians
1,0.005359629511287452,portal.uea.ac.uk/library/faculty-librarians
1,0.005359629511287452,portal.uea.ac.uk/web/hub/library/faculty-librarians
1,0.005314965932026724,portal.uea.ac.uk/en/multifaith/faiths/hindu
1,0.0052473859613128455,portal.uea.ac.uk/uss/intranet/safety-subjects/radiation/contact-urpo
1,0.0052473859613128455,portal.uea.ac.uk/en/uss/intranet/safety-subjects/radiation/contact-urpo
1,0.0052434641481877995,portal.uea.ac.uk/multifaith/faiths/hindu
1,0.005228224927546967,portal.uea.ac.uk/academic-calendar/administration
1,0.005220055826097675,portal.uea.ac.uk/learning-technology/studio-technology/access-grid/booking-location-and-contact
1,0.005206497239536382,portal.uea.ac.uk/arm/operations-team-intranet/ucas/contact
1,0.005206497239536382,portal.uea.ac.uk/en/arm/operations-team-intranet/ucas/contact
1,0.005166240817581204,portal.uea.ac.uk/multifaith/contact-us
1,0.005036435771913334,portal.uea.ac.uk/uss/intranet/safetyroles/contacts
1,0.005036435771913334,portal.uea.ac.uk/en/uss/intranet/safetyroles/contacts
1,0.005023813125868439,portal.uea.ac.uk/en/faculty-school-intranets/sci-intranet/school-specific/env/emails
1,0.005023813125868439,portal.uea.ac.uk/faculty-school-intranets/sci-intranet/school-specific/env/emails
1,0.004986321983138077,portal.uea.ac.uk/information-services/people/profile/list/all/uw/2
1,0.004936756228522637,portal.uea.ac.uk/uss
1,0.004936756228522637,portal.uea.ac.uk/en/uss
1,0.004844136731215658,portal.uea.ac.uk/en/finance/contacts
1,0.004815619068400017,portal.uea.ac.uk/multifaith/helplines
1,0.004815619068400017,portal.uea.ac.uk/en/multifaith/helplines
1,0.004762902260879345,portal.uea.ac.uk/en/people/profile/list/all/mm/27
1,0.004759911514133144,portal.uea.ac.uk/web/about/key-dates
1,0.004733977753222183,portal.uea.ac.uk/arm/people/profile/list/all/ab/2
1,0.004727597729296007,portal.uea.ac.uk/nursery/contact-us
2,0.022369386150808607,portal.uea.ac.uk/library/borrowing/sconul-access
2,0.021125769716142676,portal.uea.ac.uk/web/hub/library/borrowing/sconul-access
2,0.020281524992700375,portal.uea.ac.uk/library/access
2,0.018386273811015413,portal.uea.ac.uk/library/access/visitors/e-resources
2,0.018386273811015413,portal.uea.ac.uk/web/hub/library/access/visitors/e-resources
2,0.0183720985386455,portal.uea.ac.uk/library/access/sconul
2,0.0183720985386455,portal.uea.ac.uk/web/hub/library/access/sconul
2,0.017444208673969473,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_access_event
2,0.017059569240902156,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-oa
2,0.017059569240902156,portal.uea.ac.uk/ren/open-access-and-research-data/what-is-oa
2,0.017059569240902156,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-oa
2,0.01698719154094155,portal.uea.ac.uk/library/borrowing/other-libraries
2,0.016641298491336276,portal.uea.ac.uk/web/hub/library/access/visitors
2,0.016641298491336276,portal.uea.ac.uk/library/access/visitors
2,0.0164793476157503,portal.uea.ac.uk/library/other-collections
2,0.0164793476157503,portal.uea.ac.uk/web/hub/library/other-collections
2,0.01641449307947604,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-open-access-/benefits-for-uk
2,0.01641449307947604,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-open-access-/benefits-for-uk
2,0.016343639152514272,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-open-access-/different-types-of-content
2,0.016343639152514272,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-open-access-/different-types-of-content
2,0.016128086807138692,portal.uea.ac.uk/web/hub/library/access/external-borrowers
2,0.016128086807138692,portal.uea.ac.uk/library/access/external-borrowers
2,0.015925510429154136,portal.uea.ac.uk/library/access/associate-colleges/ccn-and-easton-otley
2,0.015772069146674086,portal.uea.ac.uk/library/cd-music-library
2,0.015772069146674086,portal.uea.ac.uk/web/hub/library/cd-music-library
2,0.01559593868933869,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
2,0.01559593868933869,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
2,0.015429538433504229,portal.uea.ac.uk/estates/access-and-security/staff-access
2,0.015429538433504229,portal.uea.ac.uk/en/estates/access-and-security/staff-access
2,0.015211136437869196,portal.uea.ac.uk/web/hub/library/borrowing
2,0.015211136437869196,portal.uea.ac.uk/library/borrowing
2,0.015041566989174016,portal.uea.ac.uk/library/disabilities/finding-and-borrowing-library-materials
2,0.015036003598783817,portal.uea.ac.uk/library/contact-us
2,0.015027879893784984,portal.uea.ac.uk/library/helpdesk
2,0.015027879893784984,portal.uea.ac.uk/web/hub/library/helpdesk
2,0.014990836029561416,portal.uea.ac.uk/itservices/corporate-systems/teaching-and-learning/library-management-system
2,0.01478831954477675,portal.uea.ac.uk/library/news
2,0.014658076224354766,portal.uea.ac.uk/en/library
2,0.014658076224354766,portal.uea.ac.uk/library
2,0.014658076224354766,portal.uea.ac.uk/library/
2,0.01462568443908029,portal.uea.ac.uk/csed/resources/library-links
2,0.01458666933347737,portal.uea.ac.uk/library/research-support
2,0.01458666933347737,portal.uea.ac.uk/web/hub/library/research-support
2,0.014459111469534283,portal.uea.ac.uk/library/resources
2,0.014355073637341306,portal.uea.ac.uk/library/news/-/asset_publisher/PFyiDU0daRt0/blog/christmas-in-the-library
2,0.014309980077558985,portal.uea.ac.uk/itservices/corporate-systems/administrative/access-control
2,0.014225775429978963,portal.uea.ac.uk/library/disabilities/buildings
2,0.013982479512528578,portal.uea.ac.uk/library/study-space/lockers
2,0.013871961404505894,portal.uea.ac.uk/ren/open-access-and-research-data
2,0.013871961404505894,portal.uea.ac.uk/rin/open-access-and-research-data
2,0.013871961404505894,portal.uea.ac.uk/library/research-support/open-access
2,0.013871961404505894,portal.uea.ac.uk/en/rin/open-access-and-research-data
2,0.013742345645541564,portal.uea.ac.uk/library/research-reserve
2,0.013742345645541564,portal.uea.ac.uk/Library/research-reserve
2,0.01371060025483574,portal.uea.ac.uk/library/news/-/asset_publisher/PFyiDU0daRt0/blog/new-online-reading-lists-for-students
2,0.013530764034442186,portal.uea.ac.uk/library/health-sciences-kl
2,0.013530764034442186,portal.uea.ac.uk/web/hub/library/health-sciences-kl
2,0.013440059888572303,portal.uea.ac.uk/web/hub/library/borrowing/accounts
2,0.013440059888572303,portal.uea.ac.uk/library/borrowing/accounts
2,0.013427721191233508,portal.uea.ac.uk/library/interlending
2,0.013427721191233508,portal.uea.ac.uk/web/hub/library/interlending
2,0.013289928687179507,portal.uea.ac.uk/library/teaching-support
2,0.013289928687179507,portal.uea.ac.uk/web/hub/library/teaching-support
2,0.013265018490221398,portal.uea.ac.uk/library/opening/staffed
2,0.013265018490221398,portal.uea.ac.uk/web/hub/library/opening/staffed
2,0.013216466769865053,portal.uea.ac.uk/en/ren/find-funding/eu-funding/industrial-leadership/risk-finance
2,0.013116390933280545,portal.uea.ac.uk/itservices/help/new-it-accounts
2,0.013087731825001135,portal.uea.ac.uk/library/training-and-support
2,0.012965644255052412,portal.uea.ac.uk/library/collections
2,0.012907727642443596,portal.uea.ac.uk/library/e-resources/off-campus
2,0.01287540757040142,portal.uea.ac.uk/ren/open-access-and-research-data/meeting-ref-requirements/uea-policy
2,0.012794664638911914,portal.uea.ac.uk/equality/networks/access-all-areas
2,0.012794664638911914,portal.uea.ac.uk/en/equality/networks/access-all-areas
2,0.012758462225323182,portal.uea.ac.uk/postgraduate-research/pgr-regulations-and-forms/electronic-thesis-submission-and-access
2,0.012758462225323182,portal.uea.ac.uk/en/postgraduate-research/pgr-regulations-and-forms/electronic-thesis-submission-and-access
2,0.012746136410056026,portal.uea.ac.uk/library/research-support/open-access/uea-policy
2,0.012746136410056026,portal.uea.ac.uk/en/rin/open-access-and-research-data/meeting-ref-requirements/uea-policy
2,0.012714378699043974,portal.uea.ac.uk/library/key-performance-indicators
2,0.012714378699043974,portal.uea.ac.uk/en/library/key-performance-indicators
2,0.012574790647910993,portal.uea.ac.uk/library/interlending/digital
2,0.012528060982856158,portal.uea.ac.uk/library/non-book-media
2,0.012528060982856158,portal.uea.ac.uk/web/hub/library/non-book-media
