StudentNo,100136499
System,relfbk
QueryNo,Rank,URL
1,1,portal.uea.ac.uk/finance/payroll/pensions/contacts
1,2,portal.uea.ac.uk/en/finance/payroll/pensions/contacts
1,3,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
1,4,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/foi-eir-contacts
1,5,portal.uea.ac.uk/is/online-wiki-helpdesk/-/wiki/Main/Add+a+contacts+page
1,6,portal.uea.ac.uk/web/hub/is/online-wiki-helpdesk/-/wiki/Main/Add+a+contacts+page
1,7,portal.uea.ac.uk/partnerships-office/uea-international-forum-2017/contact-information
1,8,portal.uea.ac.uk/rin/research-integrity/research-integrity-primary-contacts
1,9,portal.uea.ac.uk/en/rin/research-integrity/research-integrity-primary-contacts
1,10,portal.uea.ac.uk/staffassociation/contact-us
1,11,portal.uea.ac.uk/en/staffassociation/contact-us
1,12,portal.uea.ac.uk/student-support-service/wellbeing/contact-us
1,13,portal.uea.ac.uk/dos/wellbeing/contact-us
1,14,portal.uea.ac.uk/en/student-support-service/wellbeing/contact-us
1,15,portal.uea.ac.uk/itservices/help/blackboard/contacts-page
1,16,portal.uea.ac.uk/itservices/help/contact-it-services
1,17,portal.uea.ac.uk/itservices/support
1,18,portal.uea.ac.uk/web/about/sustainability/who-are-we/contact
1,19,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/contact
1,20,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/contact
1,21,portal.uea.ac.uk/web/about/contact-us
1,22,portal.uea.ac.uk/planningoffice/sro/contact-details
1,23,portal.uea.ac.uk/en/planningoffice/sro/contact-details
1,24,portal.uea.ac.uk/catering/contact-us
1,25,portal.uea.ac.uk/en/catering/contact-us
